Serv 15-25,Show 5-14,Hosp 5-14,Enc 5-14,Giv 5-14,"Olaga okwagala kwa Katonda okuyita mu kuyamba abalala buli lwe baba n’ebyetaago. Ebirabo ebirala ebyeyoleka nabyo bya mugaso gy’oli, naye essanyu lyo ery’amaanyi olifuna okuyita mu kuyamba abalala oba okusisinkana ebyetaago bye baba nabyo.","You display God’s love by helping others wherever they have needs. Other display gifts are important to you, but you find your greatest joy in helping others or meeting specific needs they have at the moment."
Serv 15-25,Show 15-25,Hosp 5-14,Enc 5-14,Giv 5-14,"Obeera n’okuyaayaana okw’amaanyi okulaba nti ebyetaago by’abalala bituukirizibwa kubanga owulira okwagala kwa Katonda n’okusaasira kwe era ng’oyagala okugabana ekyo ky’owulira n’abalala. Oluusi oyinza okwesanga ng’olowooza ku byetaago by’abalala, mu kifo ky’ebyo ebisingiridde mu bulamu bwo olw’essanyu eriva mu kufaayo eri abalala. ","You have a strong desire to insure other’s needs are met because you feel God’s love and mercy and want to share those feelings with others. You may often find yourself focused on other’s needs, instead of priorities in your life because of the joy from caring."
Serv 15-25,Show 15-25,Hosp 15-25,Enc 5-14,Giv 5-14,"Obeera n’okuyaayaana okw’amaanyi okulaba nti ebyetaago by’abalala bituukirizibwa kubanga owulira okwagala kwa Katonda n’okusaasira kwe era ng’oyagala okugabana ekyo ky’owulira n’abalala. Okwaniriza abantu mu maka go y’engeri esinga obulungi ey’okukolamu ekyo. Osanyukira okuweereza, okugabirira ebyetaago byabwe n’okubayamba okuwulira nti akaseera ke babeerako naawe kiba kirabo ekiva eri Katonda.","You have a strong desire to insure other’s needs are met because you feel God’s love and mercy and want to share those feelings with others. Welcoming others to your home is a great way to do that. You enjoy ministering, supporting their needs and helping them feel that the moments they are with you is a gift from God."
Serv 15-25,Show 15-25,Hosp 15-25,Enc 15-25,Giv 5-14,"
Obeera n’okuyaayaana okw’amaanyi okulaba nti ebyetaago by’abalala bituukirizibwa kubanga owulira okwagala kwa Katonda n’okusaasira kwe era ng’oyagala okugabana ekyo ky’owulira n’abalala. Okwaniriza abantu mu maka go y’engeri esinga obulungi ey’okukolamu ekyo, wamu n’okubazzaamu amaanyi okuyita mu mutima gwo ogujjudde okwagala, okufaayo ate n’obutasala musango. Okubasembeza kwo kujja kubaleetera okuwulira nga ba mugaso nnyo kasita obeera awamu nabo.
","You have a strong desire to insure other’s needs are met because you feel God’s love and mercy and want to share those feelings with others. Welcoming others to your home is a great way to do that as well as encouraging them with your loving, caring and non-judgmental attitude. Your hospitality will make them feel a strong sense of value as long as you are there with them."
Serv 15-25,Show 15-25,Hosp 15-25,Enc 15-25,Giv 15-25,"Obeera n’okuyaayaana okw’amaanyi okulaba nti ebyetaago by’abalala bituukirizibwa kubanga owulira okwagala kwa Katonda n’okusaasira kwe era ng’oyagala okugabana ekyo ky’owulira n’abalala. Okwaniriza abantu mu maka go y’engeri esinga obulungi ey’okukolamu ekyo. Abantu tebakoowa kukunoonya olw’omwoyo gwo ogujjudde ekisa n’okugaba. Obeera n’engeri ey’okwaniriza abalala, okubayamba wamu n’okubawa kye beetaaga ekibaleetera essanyu eritaggwaawo.","You have a strong desire to insure other’s needs are met because you feel God’s love and mercy and want to share those feelings with others. Welcoming others to your home is a great way to do that. People actively seek you out because of your compassion and giving spirit. You have a way of welcoming, encouraging, helping and giving to others that makes that few have, leaving a lasting impression."
Serv 5-14,Show 15-25,Hosp 15-25,Enc 15-25,Giv 15-25,"
Obeera n’obusobozi obutali bwa bulijjo obw’okulaga okwagala kwa Katonda n’okusaasira kwe era  ng’oyagala okugabana ekyo ky’owulira n’abalala. Okwaniriza abantu mu maka go y’engeri esinga obulungi ey’okukolamu ekyo. Osanyukira okulaga ekisa eky’ebuziba n’okufaayo eri abo abakwetoolodde. Obeera oyagala okuzzaamu abalala amaanyi n’okulaba nti ebyetaago byabwe bisisinkaniddwa ne bwekiba kikutwalira okuwaayo omuwendo.",You have an unusual ability to show God’s love and mercy and want to share those feelings with others. Welcoming others to your home is a great way to do that. You enjoy expressing deep compassion and caring for those around you. You are willing to encourage others and insure their needs are met even if it costs you something.
Serv 5-14,Show 5-14,Hosp 15-25,Enc 15-25,Giv 15-25,"
Obeera oyagala okubeera n’abantu  awo w’oli ne mu maka go osobole okugabana okwagala kwo n’essanyu lyo wamu nabo. Obeera era oyagala okuwaayo obulamu bwo mu buli ngeri wamu n’okugabana nabo ebintu byo eby’omubiri  n’ensimbi okulaba nti baddamu amaanyi era n’okuwulira nga ba mukisa nga bavudde w’oli.",You love having people around you and in your home so you can share your love and hospitality with them. You enjoy giving of yourself any way you can as well as sharing your physical and financial assets to insure they feel encouraged and blessed when they leave you.
Serv 5-14,Show 5-14,Hosp 5-14,Enc 15-25,Giv 15-25,"
Owulira essanyu ery’ekitalo ng’omaze akaseera ne munno, ng’omulaga nti  Katonda amwagala wamu n’omubiri gwa Kristo. Obeera n’okuyaayaana okulaba nti obayamba okusisinkana ebyetaago byabwe okuyita mu kwewaayo kwo wamu n’okuwaayo ebibyo. Kino mwembi kibawa omukisa.","You feel great joy when you have spent time with someone, assuring them that they are loved and cared for by God and the Body of Christ. You have a desire to help them meet their needs by giving of yourself and your resources. This blesses you and them both."
Serv 5-14,Show 5-14,Hosp 5-14,Enc 5-14,Giv 15-25,"
Okuyaayaana kwo okusinga kwe kusisinkana ebyetaago by’abalala mu kyama. Newankubadde ng’oyinza okunyumirwa okwebazibwa kw’ofuna, ekyo si kye kiba eky’omugaso gy’oli – wabula liba ssanyu ly’okulaba nti oliko ky’owaddeyo eri omuntu okuyita mu Katonda ng’akolera mu ggwe.
","Your greatest desire is to quietly meet other’s needs. While you may enjoy the “thanks” you receive, that is not what is most important to you – it is the joy of knowing you were able to contribute something to someone by God working in and through you."
Serv 5-14,Show 5-14,Hosp 5-14,Enc 5-14,Giv 5-14,"Yadde ng’olina obusobozi bw’okwolesa okwagala kwa Katonda mu ngeri ezimu, amaanyi go agasinga obungi gaba mu biti ebirala ebisinga okuwa eky’okulabirako ky’ekyo Katonda kye yakutondera okubeera wamu n’engeri gye yakutondamu okuweereza omubiri gwa Kristo.
","While you have an ability to display God’s love on occasions, your greatest strengths lie in other categories that better exemplify what God created you to be and the way He created you to serve the body."
